data_center_id,project_stage,state_or_region,state_code,data_center_estimated_power_mw,data_center_selected_power_mw,sector,year
7f0c162c-4125-4a16-a517-13300c32d932,Construction,Texas,TX,48.52,48.52,all_sectors,2025
f99687a3-5a65-41c1-a5c0-2df8438185fa,Active,Virginia,VA,53.48,35.0,all_sectors,2025
939ac635-9f22-45b2-85a1-96d66b4465d6,Active,Virginia,VA,53.48,35.0,all_sectors,2025
065322d0-7894-11f0-8932-57c65658486a,Announcement,Virginia,VA,62.73,62.73,all_sectors,2025
da9cd6d8-6ae6-4c99-8e93-fc5c41784bbe,Announcement,Virginia,VA,49.17,49.17,all_sectors,2025
784bb4f9-4cc3-440f-bb30-8862fc53601c,Active,Ohio,OH,10.12,11.0,all_sectors,2025
63df1fad-9e9d-447c-983c-e6f20db9f678,Delayed,Virginia,VA,44.84,52.0,all_sectors,2025
2e67700f-a629-4b60-a010-b4fe297073e1,Construction,Arizona,AZ,45.78,48.0,all_sectors,2025
19b76852-0546-47b4-9be3-6a7d848f9114,Announcement,Virginia,VA,60.03,58.0,all_sectors,2025
0cfc1e05-5983-4365-8804-f0728f9a5032,Announcement,Virginia,VA,60.03,58.0,all_sectors,2025
055b4fad-929a-4caf-93fc-b590b6702aef,Announcement,Virginia,VA,47.95,47.95,all_sectors,2025
b1c9506e-2c8a-4e7d-9045-07b61524369a,Active,Washington,WA,15.66,15.66,all_sectors,2025
9cd42f9e-02d2-4f29-b48a-0fb14a481d27,Announcement,Oregon,OR,69.39,75.0,all_sectors,2025
cd6f3ade-30c4-4dfe-ab80-6e156e2d1bfe,Active,Texas,TX,6.09,26.0,all_sectors,2025
4233e8e8-bd36-4092-be6f-d5815af4e1a7,Active,Texas,TX,11.8,30.0,all_sectors,2025
df45ffc0-11f9-4391-bf18-bfde132c2fa2,Construction,Texas,TX,35.0,36.0,all_sectors,2025
4c845692-e864-4224-b90b-157939053235,Announcement,Texas,TX,18.26,20.0,all_sectors,2025
d8cd994b-a3b9-43c9-b277-036faff0ca2d,Announcement,Virginia,VA,61.95,61.95,all_sectors,2025
9b3f973a-5ae9-4794-b067-8c5d8ba34be2,Active,Minnesota,MN,6.36,4.0,all_sectors,2025
43bce0e5-6745-4467-a7c5-6a0e739b17ee,Active,Illinois,IL,21.13,32.0,all_sectors,2025
2cc67396-2ba8-437d-8225-5af96e036050,Active,Texas,TX,24.95,40.0,all_sectors,2025
24b4f662-66fa-4f79-9c0a-5a8c2f640d17,Construction,Georgia,GA,33.76,48.0,all_sectors,2025
1ead58ba-5af9-427a-b35c-49afb509a0bf,Active,Massachusetts,MA,2.76,3.0,all_sectors,2025
00e4e2d6-37f6-4062-a6ab-c788d135d7d7,Active,Texas,TX,39.33,60.0,all_sectors,2025
088a057a-093a-4758-9212-bba486e29469,Active,Nevada,NV,49.2,50.0,all_sectors,2025
c78f1459-8e09-47af-af24-ea0130a7a8a7,Construction,Illinois,IL,38.05,60.0,all_sectors,2025
2e4195d1-c876-4dae-8005-5d4bf382c6c9,Announcement,Georgia,GA,47.41,75.0,all_sectors,2025
b9232feb-e759-42b7-8d8b-c871f1c0a42c,Active,Arizona,AZ,11.38,18.0,all_sectors,2025
597d078a-569b-4f58-ba9c-bab4bce2a790,Not Approved/Withdrawn,Arizona,AZ,31.67,60.0,all_sectors,2025
1e67d82f-95b5-4a8a-9d9b-f986bde0e391,Announcement,Virginia,VA,32.65,32.65,all_sectors,2025
eedb91c7-562a-40f4-b3c4-b869f86b6aec,Announcement,Virginia,VA,,150.0,all_sectors,2025
1def6f03-bbdd-4d7c-b492-a52f37686753,Construction,Nevada,NV,,62.0,all_sectors,2025
3ba21067-c9bd-4dae-a1b8-52e8f83ac42d,Announcement,Georgia,GA,75.05,75.05,all_sectors,2025
b6421424-2c70-4570-8c5b-88726998154f,Active,California,CA,22.07,17.0,all_sectors,2025
